name,handle,platform,followers,lane,fit_product,focus,angle,contact_email,contact_method,source_url,notes
"2 Mello",@2Mello,YouTube,79.8K,B,TALLBOY,"Chiptune/hip-hop producer (Chrono Trigger x hip hop mashups), remixes and instrumentals","TALLBOY on vocal samples and SFX in a retro-game hip-hop beat; IG @mellomakes for reels",,"Business inquiries via https://2mello.net/contact (no email shown) or Instagram @mellomakes",https://2mello.net/contact,"HypeAuditor Sep 2026: 79,807 subs, 4.8% engagement"
"Danimal Cannon",@DanimalCannonOfficial,YouTube,36.6K,B,TALLBOY,"LSDJ Game Boy + guitar chiptune artist and game composer (Pokemon credits), music videos and performances","Game Boy purist reaction to TALLBOY; possible SFX design demo for game audio followers",,"Contact form at https://www.danimalcannon.com/contact",https://www.danimalcannon.com/,"HypeAuditor Sep 2026: 36,558 subs, 8.6% engagement; last upload ~2 months"
Shirobon,@shirobonmusic,YouTube,45.5K,B,TALLBOY,"Chiptune/synthwave producer using game consoles; sells 'Chiptune for Serum' preset packs","He sells chiptune presets, so TALLBOY complements his products; propose a pack/plugin cross-promo",hello@shirobonmusic.com,"Email published on https://linktr.ee/shirobon",https://linktr.ee/shirobon,"HypeAuditor: 45,548 subs; last YouTube upload ~7 months, active on TikTok/IG/Bandcamp"
Zerabosk,@Zerabosk,YouTube,~unverified (small),B,TALLBOY,"Game Boy LSDJ/Nanoloop chiptune creator; made the 8-chapter Beginner's Guide to Game Boy Chiptune featured by Synthtopia Aug 2026","Ask for TALLBOY to appear in a 'Game Boy sound without a Game Boy' follow-up to the guide",,"No email found; YouTube About business email button; itch.io https://zerabosk.itch.io",https://www.synthtopia.com/content/2026/08/01/the-beginners-guide-to-game-boy-chiptune/,"Channel ID UCV3HF2W0Q8ioBWiZi8jnCcQ; not indexed by HypeAuditor"
"Beatscribe (J Beatscribe)",@beatscribe,YouTube,~unverified (small),B,TALLBOY,"Game Boy chiptune and lo-fi Game Boy beats; builds Game Boy music tools (BSR1, midi2uge); writes GB Studio Central tutorials","Tool-builder who reviews Game Boy music tech; TALLBOY as the DAW-side companion to his GB sampler",Beatscribes@gmail.com,"Email posted by beatscribe in an itch.io comment thread; also Twitter @BeatscribeMusic and https://beatscribe.itch.io",https://zerabosk.itch.io/azimuth,"Email found in public comment, not on an official page; confirm before bulk sending"
"Cloudchord (Derek VanScoten)",@cloudchordmusic,YouTube,"9.6K (plus @AbletonGuitarist tutorial channel)",B,TALLBOY,"Emmy-winning lofi/chillhop producer and Ableton Certified Trainer; guitar-in-Ableton and lofi tutorials","Lofi tutorial using TALLBOY bitcrush on guitar and vocal chops plus Carbonator tape flavor",john@smooth-loop.com,"Management email listed in YouTube About page (john [at] smooth-loop.com); booking noah [at] pivotal-agency.com",https://www.youtube.com/@cloudchordmusic/about,"HypeAuditor Sep 2026: 9,611 subs, 3.8% monthly growth"
"Medieval Lofi",@MedievalLofi,YouTube,39K,B,TALLBOY,"Melbourne composer making medieval/tavern-themed lofi beats weekly; also runs Solas Composer","Chiptune-flavored 'tavern 8-bit' beat episode using TALLBOY; Ko-fi/Bandcamp audience",,"No email found; YouTube About business email button; Ko-fi https://ko-fi.com/medievallofi",https://www.youtube.com/@MedievalLofi/about,"HypeAuditor Aug 2026: ~39K subs, ~1 video/week"
"Chill Astronaut",@ChillAstronaut,YouTube,33.6K,B,TALLBOY,"Turns film/TV themes (LOTR, Star Wars, Zelda-adjacent) into lofi beats every Friday","Retro-game-style lofi flip of a game theme with TALLBOY; creator content not just streams",,"No email found; YouTube About business email button",https://www.youtube.com/@ChillAstronaut/about,"Feedspot lists 33.6K subs"
Chipocrite,@Chipocrite,YouTube,~unverified,B,TALLBOY,"Philadelphia chiptune musician (Game Boy), inspiration for Beatscribe; performs and posts chip tracks","Game Boy artist demo of TALLBOY on vocals for a chip-pop track",,"No email found; YouTube About business email button",https://www.youtube.com/@Chipocrite/about,"Channel ID UCTF0210l0JMC3bx8jbScV5Q; not indexed by HypeAuditor"
Roboctopus,@Roboctopus,YouTube,~unverified,B,TALLBOY,"Chiptune producer ('chiptune is love; chiptune is life'), original chip tracks","Send TALLBOY for a quick sound-test video; low effort ask",,"No email found; YouTube About business email button",https://www.youtube.com/@Roboctopus/about,"Channel ID UCVNu8yd7tptY8d3EA_PHmkw; size unknown"
sofaspartan,@sofaspartan,YouTube,~unverified (small),B,TALLBOY,"FamiTracker NES-style chiptune creations and tracker tutorials","FamiTracker-vs-TALLBOY comparison for people who want NES/GB sounds inside a DAW",,"No email found; YouTube About business email button",https://www.youtube.com/@sofaspartan/about,"Channel ID UCw_cspGy3bualk_wt9gzd1Q"
"Prod. Riddiman",@ProdRiddiman,YouTube,195K,B,TALLBOY,"Lofi and hip-hop beats channel with licensing; some production content","Above sweet spot; only for a beat-tape style TALLBOY demo if you want reach in lofi",,"No email found; beat store https://www.riddiman.com ; YouTube About business email button",https://www.youtube.com/@ProdRiddiman/about,"HypeAuditor Sep 2026: 195,531 subs; mostly beats not tutorials"
"Lofi Cody",@loficody,Instagram,~unverified,B,TALLBOY,"Lofi producer/curator of game and anime themed lofi (Nintendo, Zelda, Star Wars playlists), runs Lofi Radio YouTube and Discord","Nintendo-themed lofi is core to his brand; TALLBOY Game Boy vocals on a Zelda lofi flip",,"Email button on https://linktr.ee/loficody (address not displayed); Instagram @loficody",https://linktr.ee/loficody,"Also on Patreon and YouTube (Lofi Radio); follower counts not verified"
"Molten Music Technology (Robin Vincent)",@moltenmusictechnology,YouTube,58.4K,C,Carbonator,"Music tech news, reviews and tutorials: synths, DAWs, plugins, Windows/Surface Pro production; Sound On Sound contributor","Send the whole bundle for a 'five $20 plugins from an indie dev' review; he covers small devs",robin@moltenmusictechnology.com,"Email published on moltenmusictechnology.com/about",https://moltenmusictechnology.com/about/,"Feedspot lists 58.4K subs"
"LNA Does Audio Stuff (Liina Turtonen)",@LNADoesAudioStuff,YouTube,"87.8K YT; also IG @lnadoesaudiostuff, TikTok @lnadoesaudiostuff",C,Carbonator,"Ableton Certified Trainer; beginner-friendly audio tech tutorials, gear/plugin reviews, inclusive audio education","Beginner-friendly explainer: what saturation flavors do, using Carbonator's five modes",lna@lnamusic.com,"Email published on lnamusic.com/about",https://www.lnamusic.com/about,"HypeAuditor Jul 2026: 87,841 subs"
"Plugin Librarian",@pluginlibrarian,YouTube,100.5K,C,Still,"Daily free plugin and plugin deal announcements with short demos; pluginlibrarian.com blog","Submit Still (free) for a feature and the 20% code as a 'deal' post; low-friction win",,"No email found on site or channel; YouTube About business email button",https://www.pluginlibrarian.com/,"HypeAuditor Sep 2026: 100,503 subs; deals-focused audience"
Bthelick,@Bthelick,YouTube,96.4K,C,FIZZFUEL,"Dance music production tutorials (techno, tech house, bass house) with dry humour; free plugin challenges","Free-plugin-challenge style video: build a techno drop with Still plus FIZZFUEL drive",,"No email; Ko-fi https://ko-fi.com/bthelick ; YouTube About business email button",https://www.youtube.com/@Bthelick/about,"HypeAuditor Aug 2026: 96,408 subs; weekly uploads"
"Mixing With Mike (Michael White)",@MixingWithMike,YouTube,56K,C,Pour,"38-year pro engineer; livestream mixing classes, plugin tutorials and reviews, courses","Plugin review slot on his weekly livestream; Pour M/S imaging on a mix bus",,"Contact form at https://www.mixingwithmike.com/contact-us",https://www.mixingwithmike.com/,"HypeAuditor Aug 2026: 56,056 subs, 650 videos"
"Colt Capperrune",@ColtCapperrune,YouTube,159K,C,Carbonator,"Nashville Top 40 mix engineer; frequent plugin reviews and shootouts, gear content","Above sweet spot but a habitual plugin reviewer; saturation shootout with Carbonator",,"No email found; Instagram @coltcapperrune; studio site darkriverstudios.flashpotdesigns.com (unreachable at check time)",https://www.youtube.com/@ColtCapperrune/about,"HypeAuditor Sep 2026: 159,437 subs, 13K avg views"
"The Sound Test Room (Doug Woods)",@TheSoundTestRoom,YouTube,81.4K,C,Carbonator,"Reviews, demos and tutorials for VSTs, iOS music apps and hardware; 5000+ videos, 10+ years","Regular demo-maker; send bundle for straight walkthrough videos of each plugin",thesoundtestroom@gmail.com,"Email in YouTube About page",https://www.youtube.com/@TheSoundTestRoom/about,"HypeAuditor Sep 2026: 81,353 subs; also Patreon"
"SYNTH ANATOMY",@SynthAnatomy,YouTube,36.8K,C,FIZZFUEL,"Music tech news outlet (Vienna/Luxembourg): plugin and synth news, demos, developer interviews","News coverage of the Carbonated lineup plus a FIZZFUEL demo; he covers indie releases daily",,"Web form at https://synthanatomy.com/contact (no email; solo operator, selective)",https://synthanatomy.com/contact,"HypeAuditor Jul 2026: 36,845 subs"
"Nu-Trix The Synth Guy (Luc)",@Nu-trix,YouTube,26K,C,Carbonator,"Montreal production teacher since 1995; synth, plugin and iPad software reviews and tips","Teacher angle: Carbonator as a saturation lesson tool; Windows/iPad-friendly small plugins",,"No email found; Instagram @nutrixsynthguy; consultation page https://www.nu-trix.com/1-on-1-consultation-with-nu-trix/ ; Patreon patreon.com/nutrix",https://www.nu-trix.com/,"HypeAuditor Sep 2026: 26,011 subs, 761 videos"
"UDi Audio (Udi Zisser)",@UDiAudio,YouTube,20.2K,C,Carbonator,"Hundreds of plugin and virtual instrument reviews/tutorials; explicitly accepts review requests from developers","States he accepts review requests; send bundle and ask for individual deep dives",,"Contact form at https://udiaudio.com/pages/contact ; Instagram @udi.audio ; Discord",https://udiaudio.com/pages/about,"HypeAuditor Sep 2026: 20,249 subs, 1000+ videos"
"Orpheus Audio Academy (Reagan Ramm)",@OrpheusAudioAcademy,YouTube,11.7K,C,Carbonator,"Home-studio production and mixing for busy indie artists; Baby Audio plugin review playlist; synthwave focus","Already reviews Baby Audio; pitch Carbonator/FIZZFUEL as budget synthwave saturation",,"No email found; Instagram @orpheusaudioacademy; site https://www.orpheusuniversity.com/",https://www.youtube.com/@OrpheusAudioAcademy/about,"HypeAuditor Sep 2026: 11,650 subs; 0.85% monthly growth"
"Audio Sorcerer (Dan Spencer)",@AudioSorcerer,YouTube,22.3K,C,De-Sipper,"100+ audio plugin reviews plus recording/mixing tutorials; runs a mix/master service; TikTok @audiosorcererofficial","Plugin-review regular; send bundle; De-Sipper and Pour are natural single-plugin reviews",info@audiosorcerer.com,"Email in YouTube About page; form at https://audiosorcerer.com/contact",https://www.youtube.com/@AudioSorcerer/about,"HypeAuditor Sep 2026: 22,312 subs"
"Plugin Alley (John)",@PluginAlley,YouTube,20K,C,Carbonator,"Pro audio engineer teaching mixing with memes; has worked with Waves, iZotope, Ollo, Audioscape","Brand-collab experienced; 'can $20 plugins beat my go-to chain' comedy review",hello@pluginalley.com,"Email published on https://indiepa.ge/pluginalley",https://indiepa.ge/pluginalley,"HypeAuditor Sep 2026: 19,959 subs (indiepage says 13K); 3.7% engagement"
"Learn Audio Engineering (Robert Back)",@LearnAudioEngineering,YouTube,39K,C,On Tap,"Recording and mixing tutorials (Pro Tools, Logic) from Back Burner Studios, Edmonton; ~weekly uploads","On Tap transient/pump on drums in a tracking-to-mix walkthrough",robert@backburnerstudios.ca,"Email published on backburnerstudios.ca/our-team",https://backburnerstudios.ca/our-team/,"HypeAuditor Sep 2026: 38,952 subs"
"Panorama Mixing and Mastering (Nicholas Di Lorenzo)",@panorama_mastering,YouTube,41.9K,C,Pour,"Grammy-nominated Melbourne mastering engineer; weekly mixing/mastering education and gear videos","Mastering-engineer perspective on Pour M/S imaging and Carbonator on the 2-bus",nicholas@panoramamastering.com.au,"Email published on panoramamastering.com.au",https://www.panoramamastering.com.au/,"HypeAuditor Aug 2026: 41,858 subs, 4.3% engagement"
"MixbusTV (David Gnozzi)",@MixbusTv,YouTube,165K,C,Carbonator,"Platinum mix/master engineer; 1900+ tutorials, frequent plugin reviews, posts ~3x per week","Above sweet spot but a prolific plugin reviewer; send bundle for his review series",bookinghfs@gmail.com,"Email in YouTube About page",https://www.youtube.com/@MixbusTv/about,"HypeAuditor Jul 2026: 165,466 subs"
ELPHNT,@elphnt,YouTube,87.2K,D,TALLBOY,"Ableton Certified Trainer; sound packs, Max for Live devices, Ableton tutorials","Ableton lofi/chiptune sound design episode with TALLBOY and Carbonator; Discord community",,"Contact form at https://elphnt.io/contact/ ; Instagram @elphntx",https://elphnt.io/,"HypeAuditor Sep 2026: 87,151 subs"
Lollypopbeatz,@Lollypopbeatz,YouTube,158K,D,FIZZFUEL,"London producer: type beats, trap tutorials and producer marketing; 1100+ videos","Above sweet spot; 'making a beat with only $20 plugins' with FIZZFUEL on 808s",lollypopbeatz@gmail.com,"Email in YouTube About page; management mike@miamimusicmanagement.com; IG @lollypopbeatz",https://www.youtube.com/@Lollypopbeatz/about,"HypeAuditor Sep 2026: 158,109 subs, 5.4% engagement"
"Ned Rush",@NedRush,YouTube,70K,D,TALLBOY,"Esoteric Ableton Live and Max/MSP tutorials with breakcore/IDM sensibility","Weird-processing angle: TALLBOY bitcrush and On Tap for glitchy drums",,"No email found; Patreon https://www.patreon.com/NedRush ; YouTube About business email button",https://www.youtube.com/@NedRush/about,"HypeAuditor Sep 2026: 69,946 subs"
Slynk,@Slynk,YouTube,81K,D,Carbonator,"Funk/electronic producer with Ableton tutorials; offers lessons and mixing services","Funky bass and drum saturation demo; he has a dedicated business inquiry form",,"Business inquiries form https://forms.gle/JFEVWLViQgqXqbqb7 ; site https://slynk.net",https://www.youtube.com/@Slynk/about,"HypeAuditor Jul 2026: 81,250 subs, 5.4% engagement"
"Julien Earle",@JulienEarle,YouTube,121K,D,FIZZFUEL,"Techno, trance and minimal house production tutorials with downloadable samples; 2000+ videos","Above sweet spot but very prolific; FIZZFUEL on techno drums/rumble",,"No email found; YouTube About business email button",https://www.youtube.com/@JulienEarle/about,"HypeAuditor Sep 2026: 121,001 subs"
STRANJAH,@Stranjah,YouTube,149.5K,D,On Tap,"UK drum and bass producer/educator; short practical Ableton and FL Studio tutorials","On Tap transient/pump shaping for DnB drums; above sweet spot but high engagement",,"No email found; YouTube About business email button",https://www.youtube.com/@Stranjah/about,"HypeAuditor Sep 2026: 149,516 subs, 4.9% engagement"
"Brian Funk",@BrianFunk,YouTube,22.6K,D,Carbonator,"Ableton Certified Trainer, Berklee Online instructor, host of Music Production Podcast; production tips","Podcast interview or tutorial on cheap indie plugins; Carbonator in an Ableton session",brian@brianfunk.com,"Email published on brianfunk.com",https://brianfunk.com/,"HypeAuditor Jul 2026: 22,550 subs; 1400+ videos"
"Official AHEE",@OFFICIALAHEE,YouTube,48.6K,D,FIZZFUEL,"Bass music producer (dubstep, DnB); Ableton sound design tutorials, livestreams, Splice/Black Octopus packs","FIZZFUEL drive on bass sound design; sample-pack style cross promo",,"No email found; site https://www.aheebass.com ; Instagram @iamaheeOfficial",https://www.youtube.com/@OFFICIALAHEE/about,"HypeAuditor Aug 2026: 48,613 subs, 17.5K avg views"
"Based Gutta",@BasedGutta,YouTube,113.5K,D,TALLBOY,"FL Studio hip-hop production with humor; sound kits on BeatStars; posts weekly","Above sweet spot but 11.9% engagement; TALLBOY Game Boy vocal chops in an FL beat",basedguttabusiness@gmail.com,"Email in YouTube About page",https://www.youtube.com/@BasedGutta/about,"HypeAuditor Aug 2026: 113,503 subs"
"Joshua Casper",@JoshuaCasper,YouTube,24.9K,D,Carbonator,"Ableton Live, Max for Live and NI Massive tutorials; posts weekly","Quick Ableton tips series featuring each $20 plugin",,"No email found; YouTube About business email button",https://www.youtube.com/@JoshuaCasper/about,"HypeAuditor Sep 2026: 24.9K subs, low growth"
"Mr Cru2",@Mr_Cru2,YouTube,8K,D,FIZZFUEL,"FL Studio and BandLab beat tutorials, type beats, free plugin review playlist (37 videos); TikTok @mr_cru2","Has a Free Plugin Review playlist; send Still first then the paid bundle",beatsbymrcru2@gmail.com,"Email in YouTube About page; site https://www.mrcru2.com",https://www.youtube.com/@Mr_Cru2/about,"HypeAuditor Sep 2026: 8,030 subs; last upload ~2 months"
KXVI,@KXVI,YouTube,~unverified,D,FIZZFUEL,"Hard-hitting drums and soulful trap beatmaking tutorials and industry advice","Trap drum saturation with FIZZFUEL/Carbonator; verify size and activity first",,"No email found; YouTube About business email button",https://www.youtube.com/@KXVI/about,"Channel ID UCuHu5v9sMhdzYPAiKMMf97A; not indexed by HypeAuditor"
MrDifferentTV,@MrDifferentTV,YouTube,107K,D,Carbonator,"Beat reviews and feedback sessions, beat-making videos; 1000+ videos","Low priority: engagement is near zero per HypeAuditor; only as a bulk email",MrDifferenttv2016@gmail.com,"Email in YouTube About page",https://www.youtube.com/@MrDifferentTV/about,"HypeAuditor Sep 2026: 107,483 subs but <0.01% engagement and declining"
